#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	265112	17398448	14.0814	0.273188	37.3	57.2
chr2	1	84979418	181572	11920636	14.0277	0.272507	37.2	57.1
chr3	1	92479059	197378	12930212	13.9818	0.271682	37.3	57.5
chr4	1	89535178	191474	12496774	13.9574	0.27232	37.3	57.2
chr5	1	89562946	195444	12786337	14.2764	0.278085	37.2	57.7
chr6	1	78113029	168612	11019349	14.1069	0.274907	37.2	57.2
chr7	1	81081596	175102	11446922	14.1178	0.27514	37.3	57.5
chr8	1	76405709	161579	10513337	13.7599	0.268209	37.3	56.8
chr9	1	61171909	133831	8741925	14.2908	0.278314	37.1	57.5
chr10	1	70643054	153334	10021245	14.1857	0.27593	37.2	57.7
chr11	1	74805798	162269	10585682	14.1509	0.276419	37.3	56.7
chr12	1	72970719	153661	9982385	13.68	0.267146	37.4	57.4
chr13	1	64299765	135872	8879683	13.8098	0.269076	37.3	57.2
chr14	1	61112200	129915	8497493	13.9047	0.270754	37.3	57.3
chr15	1	64676183	137914	8996169	13.9096	0.271097	37.3	57.4
chr16	1	60362399	127729	8375134	13.8748	0.26961	37.3	56.9
chr17	1	65088165	141705	9242033	14.1993	0.277673	37.3	56.8
chr18	1	56472973	124560	8085665	14.3178	0.281136	37.2	57.1
chr19	1	55516201	115494	7535148	13.5729	0.263555	37.3	56.9
chr20	1	58627490	125878	8275559	14.1155	0.273734	37.2	57.9
chr21	1	51742555	110000	7210905	13.9361	0.27045	37.3	56.5
chr22	1	61573679	129369	8444202	13.714	0.267428	37.3	57.5
chr23	1	53134997	115303	7537333	14.1853	0.27651	37.3	57.6
chr24	1	48566227	105241	6926485	14.2619	0.276761	37.2	57.5
chr25	1	51730745	112024	7321345	14.1528	0.275567	37.3	57.5
chr26	1	39257614	83822	5503983	14.0202	0.27253	37.2	56.5
chr27	1	46662488	99404	6468146	13.8616	0.270316	37.3	56.9
chr28	1	41733330	90801	5945854	14.2473	0.27737	37.2	57.5
chr29	1	42517134	90391	5900636	13.8783	0.270324	37.3	56.9
chr30	1	40643782	86667	5654420	13.9121	0.27042	37.3	57.6
chr31	1	39901454	83162	5420080	13.5837	0.263765	37.2	57.2
chr32	1	40225481	83943	5448015	13.5437	0.264734	37.4	56.4
chr33	1	32139216	67129	4363830	13.5779	0.265041	37.3	56.9
chr34	1	42397973	91876	5980920	14.1066	0.276051	37.3	57.4
chr35	1	28051305	62627	4022334	14.3392	0.284531	37.2	54.5
chr36	1	31223415	65926	4307987	13.7973	0.267799	37.3	57.5
chr37	1	30785915	65383	4274113	13.8833	0.269583	37.3	57.9
chr38	1	24803098	52098	3411321	13.7536	0.266742	37.2	57
chrX	1	124992030	148014	9840592	7.87298	0.148443	37.3	53.6
