#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	131336	9109017	7.37235	0.135665	37.2	57.1
chr2	1	84979418	89005	6218119	7.31721	0.133988	37.2	57.1
chr3	1	92479059	98867	6876992	7.43627	0.136756	37.3	57.4
chr4	1	89535178	94762	6580139	7.34922	0.135385	37.3	57.3
chr5	1	89562946	98318	6789405	7.5806	0.140206	37.2	57.6
chr6	1	78113029	84139	5825313	7.45754	0.137504	37.2	57
chr7	1	81081596	86976	6058204	7.47174	0.137505	37.3	57.6
chr8	1	76405709	81014	5594488	7.32208	0.135312	37.3	56.5
chr9	1	61171909	65647	4568906	7.46896	0.136355	37.1	57.4
chr10	1	70643054	75906	5255256	7.43917	0.137003	37.2	57.7
chr11	1	74805798	79954	5598246	7.48371	0.137233	37.3	56.7
chr12	1	72970719	77556	5379599	7.37227	0.136172	37.3	57.5
chr13	1	64299765	67207	4698971	7.30791	0.133914	37.3	57.2
chr14	1	61112200	65051	4516023	7.38972	0.136078	37.3	57.3
chr15	1	64676183	67282	4675754	7.22948	0.133012	37.2	57.4
chr16	1	60362399	63360	4389030	7.27113	0.133982	37.2	56.9
chr17	1	65088165	69221	4767362	7.32447	0.135953	37.3	56.6
chr18	1	56472973	60544	4165676	7.37641	0.136616	37.2	56.9
chr19	1	55516201	57589	4002087	7.20886	0.13319	37.3	57.1
chr20	1	58627490	62552	4353858	7.42631	0.136126	37.2	57.7
chr21	1	51742555	55366	3846282	7.4335	0.137035	37.3	56.7
chr22	1	61573679	64342	4455113	7.23542	0.133729	37.3	57.5
chr23	1	53134997	57379	4002574	7.53284	0.138457	37.3	57.7
chr24	1	48566227	52217	3621875	7.4576	0.137106	37.2	57.4
chr25	1	51730745	55190	3815424	7.37554	0.13607	37.3	57.4
chr26	1	39257614	41004	2851602	7.26382	0.13318	37.2	56.2
chr27	1	46662488	48764	3397530	7.28107	0.133685	37.3	57
chr28	1	41733330	44292	3078300	7.37612	0.135732	37.2	57.4
chr29	1	42517134	44247	3078781	7.24127	0.133548	37.4	57
chr30	1	40643782	42963	2990464	7.35774	0.13487	37.3	57.7
chr31	1	39901454	41323	2860326	7.16848	0.132298	37.2	57.2
chr32	1	40225481	41616	2869287	7.13301	0.132474	37.4	56.5
chr33	1	32139216	32705	2267304	7.05463	0.130098	37.2	57.1
chr34	1	42397973	45974	3179520	7.49923	0.139221	37.3	57.4
chr35	1	28051305	30433	2094227	7.4657	0.138582	37.2	55.1
chr36	1	31223415	32304	2248226	7.20045	0.132577	37.2	57.7
chr37	1	30785915	32528	2278901	7.40241	0.135535	37.2	58
chr38	1	24803098	26126	1806809	7.28461	0.134309	37.2	56.9
chrX	1	124992030	131547	9193289	7.3551	0.135374	37.3	55.4
