#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	168951	11145061	9.02022	0.167737	37.2	56.1
chr2	1	84979418	114780	7550983	8.88566	0.165474	37.2	56.1
chr3	1	92479059	126940	8341038	9.01938	0.168276	37.3	56.2
chr4	1	89535178	123095	8050881	8.99186	0.168366	37.3	56.2
chr5	1	89562946	123607	8146155	9.09545	0.169178	37.2	56.7
chr6	1	78113029	107483	7085683	9.07106	0.169033	37.2	56.1
chr7	1	81081596	112050	7340876	9.05369	0.169694	37.3	56.5
chr8	1	76405709	104325	6820744	8.92701	0.16686	37.3	55.7
chr9	1	61171909	85026	5582697	9.12624	0.17046	37.1	56.6
chr10	1	70643054	96476	6363281	9.00765	0.167345	37.2	56.6
chr11	1	74805798	102799	6754525	9.02941	0.168267	37.3	55.6
chr12	1	72970719	99584	6531171	8.9504	0.166754	37.3	56.2
chr13	1	64299765	88156	5748249	8.93977	0.167813	37.3	56.1
chr14	1	61112200	83794	5505728	9.00921	0.167857	37.3	56.2
chr15	1	64676183	88271	5792924	8.95681	0.166795	37.2	56.2
chr16	1	60362399	81383	5334136	8.83685	0.164719	37.2	55.9
chr17	1	65088165	90537	5908325	9.07742	0.170342	37.2	55.7
chr18	1	56472973	77984	5117994	9.06273	0.168779	37.2	55.9
chr19	1	55516201	75450	4917980	8.85864	0.166359	37.3	55.7
chr20	1	58627490	80374	5300234	9.04053	0.168151	37.2	56.9
chr21	1	51742555	70546	4641867	8.97108	0.167364	37.3	55.7
chr22	1	61573679	83778	5458501	8.86499	0.165879	37.4	56.3
chr23	1	53134997	73048	4806792	9.04638	0.168826	37.3	56.5
chr24	1	48566227	66462	4388933	9.03701	0.167887	37.2	56.4
chr25	1	51730745	71476	4685386	9.05726	0.168558	37.3	56.4
chr26	1	39257614	52569	3466309	8.82965	0.164129	37.1	55.6
chr27	1	46662488	64115	4215974	9.03504	0.168324	37.3	55.9
chr28	1	41733330	56828	3738673	8.95848	0.166854	37.2	56.5
chr29	1	42517134	58094	3785863	8.90432	0.166592	37.3	55.7
chr30	1	40643782	55465	3638405	8.95194	0.167461	37.2	56.7
chr31	1	39901454	53885	3534477	8.85802	0.164895	37.3	56.2
chr32	1	40225481	54904	3563342	8.85842	0.166467	37.4	55.2
chr33	1	32139216	42941	2829202	8.80296	0.163133	37.3	55.8
chr34	1	42397973	58725	3822138	9.01491	0.169929	37.3	56.2
chr35	1	28051305	39553	2563941	9.14018	0.173491	37.2	54
chr36	1	31223415	43122	2787925	8.92896	0.168787	37.3	56.4
chr37	1	30785915	42074	2769774	8.99689	0.167433	37.2	56.9
chr38	1	24803098	33776	2224952	8.97046	0.166477	37.2	55.9
chrX	1	124992030	95903	6246234	4.99731	0.0914974	37.3	52.1
