#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	339761	20329640	16.4537	0.333827	37.3	56
chr2	1	84979418	231552	13888065	16.3429	0.331625	37.2	56.1
chr3	1	92479059	253942	15148876	16.3809	0.333259	37.4	56.3
chr4	1	89535178	246664	14727481	16.4488	0.33484	37.4	56.1
chr5	1	89562946	248292	14913017	16.6509	0.337792	37.3	56.8
chr6	1	78113029	216326	12948747	16.5769	0.337517	37.3	56.2
chr7	1	81081596	224774	13408111	16.5366	0.337018	37.3	56.4
chr8	1	76405709	206810	12377901	16.2002	0.328958	37.3	55.9
chr9	1	61171909	166102	9962643	16.2863	0.330495	37.2	56.6
chr10	1	70643054	193540	11604238	16.4266	0.33246	37.2	56.6
chr11	1	74805798	207923	12398028	16.5736	0.337547	37.4	55.5
chr12	1	72970719	199300	11816496	16.1935	0.329551	37.4	56.2
chr13	1	64299765	175989	10445486	16.245	0.331317	37.4	56
chr14	1	61112200	167597	9992254	16.3507	0.332569	37.4	56.2
chr15	1	64676183	176054	10520115	16.2658	0.330458	37.3	56.2
chr16	1	60362399	164884	9839610	16.3009	0.331427	37.3	55.4
chr17	1	65088165	180936	10810340	16.6088	0.338384	37.3	55.9
chr18	1	56472973	157531	9375502	16.6018	0.33989	37.2	56.1
chr19	1	55516201	152034	9039276	16.2822	0.330517	37.4	55.5
chr20	1	58627490	159560	9574687	16.3314	0.331025	37.3	56.8
chr21	1	51742555	141067	8427823	16.288	0.331305	37.4	55.5
chr22	1	61573679	167071	9931640	16.1297	0.327285	37.4	56.2
chr23	1	53134997	147885	8819757	16.5988	0.337319	37.4	56.4
chr24	1	48566227	132598	7985516	16.4425	0.332256	37.2	56.6
chr25	1	51730745	142925	8541777	16.512	0.335081	37.3	56.3
chr26	1	39257614	106982	6430502	16.3803	0.331921	37.2	55.3
chr27	1	46662488	126970	7539883	16.1583	0.329158	37.4	55.8
chr28	1	41733330	113476	6863131	16.4452	0.3318	37.3	56.7
chr29	1	42517134	116345	6875408	16.1709	0.329931	37.4	55.6
chr30	1	40643782	110750	6625569	16.3016	0.330458	37.3	56.6
chr31	1	39901454	108387	6398760	16.0364	0.327211	37.3	56
chr32	1	40225481	110510	6527412	16.2271	0.33101	37.4	55
chr33	1	32139216	87044	5146146	16.012	0.327474	37.3	55.6
chr34	1	42397973	118341	7013234	16.5414	0.338246	37.3	56.1
chr35	1	28051305	81325	4717818	16.8185	0.353528	37.2	52.8
chr36	1	31223415	85621	5089552	16.3004	0.331153	37.3	56.2
chr37	1	30785915	84313	4991753	16.2144	0.331484	37.3	56.6
chr38	1	24803098	66704	3929733	15.8437	0.323829	37.3	55.8
chrX	1	124992030	346917	20818407	16.6558	0.339575	37.3	54.4
