#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	233549	15163900	12.2728	0.233064	37.3	56.1
chr2	1	84979418	159162	10351272	12.1809	0.230728	37.2	56
chr3	1	92479059	175747	11405234	12.3328	0.234617	37.3	56.5
chr4	1	89535178	170862	11041010	12.3315	0.235293	37.3	56.4
chr5	1	89562946	169496	10970774	12.2492	0.232548	37.2	56.7
chr6	1	78113029	148028	9626015	12.3232	0.233494	37.2	56.2
chr7	1	81081596	154091	9978313	12.3065	0.234326	37.3	56.6
chr8	1	76405709	143360	9309491	12.1843	0.231366	37.3	55.7
chr9	1	61171909	113936	7367188	12.0434	0.227573	37.1	56.3
chr10	1	70643054	132689	8582493	12.1491	0.230542	37.2	56.6
chr11	1	74805798	142855	9261573	12.3808	0.235746	37.3	55.6
chr12	1	72970719	138263	8919854	12.2239	0.233358	37.3	56.5
chr13	1	64299765	120636	7794989	12.1229	0.231105	37.3	56.1
chr14	1	61112200	115007	7432573	12.1622	0.23201	37.4	56.4
chr15	1	64676183	121753	7918552	12.2434	0.232404	37.3	56.4
chr16	1	60362399	112393	7292525	12.0812	0.229486	37.2	56.1
chr17	1	65088165	123102	7986860	12.2708	0.233452	37.3	56
chr18	1	56472973	106556	6862357	12.1516	0.231794	37.2	55.8
chr19	1	55516201	104256	6739917	12.1405	0.23156	37.3	56.1
chr20	1	58627490	110549	7156831	12.2073	0.231606	37.2	56.7
chr21	1	51742555	97742	6313476	12.2017	0.232679	37.3	55.7
chr22	1	61573679	115760	7472707	12.1362	0.231807	37.4	56.5
chr23	1	53134997	101376	6578048	12.3799	0.23578	37.3	56.6
chr24	1	48566227	91050	5931628	12.2135	0.23079	37.2	56.6
chr25	1	51730745	98707	6353666	12.2822	0.234078	37.3	56.4
chr26	1	39257614	72028	4686506	11.9378	0.225452	37.2	55.4
chr27	1	46662488	87901	5662456	12.1349	0.231658	37.3	56.2
chr28	1	41733330	78118	5075900	12.1627	0.230817	37.2	56.5
chr29	1	42517134	80298	5194556	12.2176	0.232657	37.3	56
chr30	1	40643782	76337	4937026	12.1471	0.230759	37.3	56.6
chr31	1	39901454	74281	4805730	12.044	0.228416	37.3	56.3
chr32	1	40225481	74936	4825505	11.9961	0.230042	37.4	55.7
chr33	1	32139216	60074	3864962	12.0257	0.229522	37.3	55.9
chr34	1	42397973	81304	5235721	12.349	0.236768	37.3	56.4
chr35	1	28051305	56528	3555708	12.6757	0.249111	37.2	53.4
chr36	1	31223415	58561	3800578	12.1722	0.230836	37.3	56.5
chr37	1	30785915	58314	3757704	12.2059	0.232563	37.3	56.9
chr38	1	24803098	45634	2947919	11.8853	0.225103	37.2	56.2
chrX	1	124992030	238095	15479671	12.3845	0.236277	37.3	54.6
