#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	187829	11821820	9.56795	0.180938	37.2	55.4
chr2	1	84979418	128229	8063612	9.4889	0.179659	37.2	55.5
chr3	1	92479059	142031	8856219	9.57646	0.182417	37.3	55.5
chr4	1	89535178	137650	8595632	9.60028	0.182681	37.3	55.4
chr5	1	89562946	136476	8604195	9.60687	0.18199	37.2	56.1
chr6	1	78113029	121952	7589358	9.71587	0.185848	37.2	55.5
chr7	1	81081596	125028	7786044	9.60273	0.182917	37.3	55.7
chr8	1	76405709	116521	7292209	9.54406	0.181553	37.3	54.9
chr9	1	61171909	93983	5914667	9.66893	0.183214	37.1	55.8
chr10	1	70643054	106930	6724770	9.51936	0.17986	37.2	55.7
chr11	1	74805798	116220	7262169	9.70803	0.185215	37.3	54.9
chr12	1	72970719	112070	6941393	9.51257	0.181826	37.3	55.5
chr13	1	64299765	98485	6132258	9.53698	0.181578	37.3	55.2
chr14	1	61112200	93851	5820223	9.52383	0.181915	37.3	55.4
chr15	1	64676183	98339	6124181	9.46899	0.180385	37.2	55.4
chr16	1	60362399	91390	5720939	9.47765	0.180073	37.3	55.2
chr17	1	65088165	99702	6225573	9.56483	0.182667	37.3	55
chr18	1	56472973	87009	5438259	9.62984	0.18387	37.2	55.3
chr19	1	55516201	84649	5263011	9.48014	0.180917	37.3	54.9
chr20	1	58627490	88398	5558409	9.48089	0.179242	37.2	56.1
chr21	1	51742555	79034	4947764	9.56227	0.182126	37.3	54.8
chr22	1	61573679	94162	5858588	9.51476	0.181028	37.3	55.4
chr23	1	53134997	82212	5123338	9.64212	0.183948	37.3	55.6
chr24	1	48566227	73445	4627884	9.52902	0.179965	37.2	55.8
chr25	1	51730745	79802	4968965	9.60544	0.183061	37.3	55.6
chr26	1	39257614	58694	3713331	9.45888	0.178387	37.2	54.5
chr27	1	46662488	70546	4415859	9.4634	0.179694	37.3	55.1
chr28	1	41733330	63514	3988009	9.55593	0.181559	37.2	55.8
chr29	1	42517134	65132	4040219	9.50257	0.181114	37.3	55
chr30	1	40643782	62298	3893532	9.57965	0.181955	37.3	55.7
chr31	1	39901454	60278	3739224	9.37115	0.17871	37.3	55.4
chr32	1	40225481	61145	3783098	9.40473	0.180025	37.4	54.4
chr33	1	32139216	49323	3049294	9.48777	0.181955	37.3	54.7
chr34	1	42397973	65633	4071178	9.60229	0.183803	37.3	55.3
chr35	1	28051305	43771	2727160	9.72204	0.186602	37.2	53.3
chr36	1	31223415	47300	2935477	9.40152	0.179591	37.3	55.7
chr37	1	30785915	47045	2929646	9.51619	0.181378	37.3	56.1
chr38	1	24803098	37540	2343335	9.44775	0.179309	37.2	55.3
chrX	1	124992030	192138	12148957	9.71979	0.184732	37.3	53.8
