#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	196715	12713591	10.2897	0.197663	37.2	57.2
chr2	1	84979418	135428	8759432	10.3077	0.197639	37.2	57.2
chr3	1	92479059	146908	9495045	10.2672	0.197298	37.3	57.6
chr4	1	89535178	142617	9187775	10.2616	0.197588	37.3	57.4
chr5	1	89562946	147066	9518604	10.6278	0.204065	37.2	57.9
chr6	1	78113029	126455	8161700	10.4486	0.200977	37.2	57.3
chr7	1	81081596	129477	8381410	10.337	0.198261	37.3	57.7
chr8	1	76405709	118624	7670877	10.0397	0.192371	37.3	57.1
chr9	1	61171909	100796	6509294	10.641	0.203814	37.1	57.5
chr10	1	70643054	113732	7341693	10.3927	0.199607	37.2	57.8
chr11	1	74805798	120576	7764182	10.3791	0.200182	37.3	56.7
chr12	1	72970719	116037	7421427	10.1704	0.196913	37.3	57.7
chr13	1	64299765	100549	6467579	10.0585	0.193469	37.3	57.4
chr14	1	61112200	96162	6179094	10.1111	0.195539	37.3	57.6
chr15	1	64676183	101503	6539104	10.1105	0.19461	37.2	57.6
chr16	1	60362399	95897	6187142	10.25	0.197213	37.2	57.1
chr17	1	65088165	104206	6684461	10.2699	0.198357	37.3	57.2
chr18	1	56472973	91165	5857759	10.3727	0.200614	37.2	57.1
chr19	1	55516201	87479	5618074	10.1197	0.195196	37.3	56.8
chr20	1	58627490	94695	6121290	10.441	0.199917	37.2	57.8
chr21	1	51742555	82112	5286042	10.216	0.196769	37.3	57
chr22	1	61573679	96957	6236320	10.1282	0.195695	37.3	57.8
chr23	1	53134997	85237	5499025	10.3492	0.199343	37.3	57.7
chr24	1	48566227	78509	5099888	10.5009	0.200839	37.2	57.7
chr25	1	51730745	82906	5345314	10.333	0.198597	37.2	57.6
chr26	1	39257614	63087	4069843	10.367	0.199247	37.1	56.1
chr27	1	46662488	74045	4762826	10.207	0.196671	37.3	57.1
chr28	1	41733330	67511	4380081	10.4954	0.201336	37.2	57.6
chr29	1	42517134	66537	4267454	10.037	0.193553	37.3	57.1
chr30	1	40643782	64990	4192556	10.3154	0.198345	37.3	57.7
chr31	1	39901454	62370	4006233	10.0403	0.193606	37.3	57.6
chr32	1	40225481	62499	3992597	9.92554	0.192136	37.4	56.6
chr33	1	32139216	49874	3196518	9.94585	0.191807	37.3	57.1
chr34	1	42397973	68353	4404284	10.388	0.200161	37.3	57.5
chr35	1	28051305	47775	3048985	10.8693	0.213443	37.2	54.1
chr36	1	31223415	49310	3152541	10.0967	0.195098	37.2	57.6
chr37	1	30785915	48825	3145612	10.2177	0.196691	37.2	58.3
chr38	1	24803098	38906	2522963	10.172	0.194471	37.2	57.2
chrX	1	124992030	199017	12908545	10.3275	0.19821	37.3	55.4
