#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	331308	21005864	17.001	0.3332	37.3	57
chr2	1	84979418	226404	14369350	16.9092	0.331195	37.2	56.9
chr3	1	92479059	249733	15797323	17.0821	0.335545	37.4	57.3
chr4	1	89535178	241900	15241435	17.0228	0.335516	37.3	57
chr5	1	89562946	242601	15368563	17.1595	0.336838	37.2	57.6
chr6	1	78113029	211013	13374424	17.1219	0.336306	37.3	57.1
chr7	1	81081596	219885	13890743	17.1318	0.336651	37.4	57.5
chr8	1	76405709	203288	12866656	16.8399	0.330219	37.4	56.5
chr9	1	61171909	162789	10367005	16.9473	0.330559	37.2	57.4
chr10	1	70643054	189504	12039595	17.0429	0.332876	37.2	57.5
chr11	1	74805798	204509	12938998	17.2968	0.340156	37.4	56.6
chr12	1	72970719	197424	12427227	17.0304	0.335221	37.4	57.3
chr13	1	64299765	171946	10854348	16.8809	0.332013	37.3	57.1
chr14	1	61112200	166615	10478161	17.1458	0.338167	37.4	57.2
chr15	1	64676183	173602	10957515	16.9421	0.333046	37.3	57.3
chr16	1	60362399	160158	10144428	16.8059	0.328974	37.3	56.8
chr17	1	65088165	176861	11135836	17.1088	0.337998	37.3	56.6
chr18	1	56472973	153274	9631322	17.0547	0.336764	37.3	57
chr19	1	55516201	149259	9380449	16.8968	0.333043	37.4	56.7
chr20	1	58627490	155197	9883301	16.8578	0.329451	37.2	57.7
chr21	1	51742555	140078	8861112	17.1254	0.336593	37.4	56.5
chr22	1	61573679	167347	10479739	17.0198	0.33646	37.4	57.3
chr23	1	53134997	145011	9167971	17.2541	0.3391	37.4	57.3
chr24	1	48566227	127476	8158121	16.7979	0.327015	37.2	57.4
chr25	1	51730745	140056	8821351	17.0524	0.336009	37.3	57.3
chr26	1	39257614	102950	6573469	16.7444	0.326558	37.2	56.1
chr27	1	46662488	126034	7943212	17.0227	0.335084	37.3	57
chr28	1	41733330	110825	7069494	16.9397	0.330823	37.3	57.4
chr29	1	42517134	114901	7177983	16.8826	0.334168	37.4	56.7
chr30	1	40643782	109803	6977155	17.1666	0.335852	37.3	57.5
chr31	1	39901454	106128	6667465	16.7098	0.329082	37.3	57.1
chr32	1	40225481	108972	6785965	16.8698	0.334699	37.4	56.3
chr33	1	32139216	85089	5352590	16.6544	0.327421	37.3	56.9
chr34	1	42397973	115907	7276465	17.1623	0.33935	37.3	57.2
chr35	1	28051305	79815	4879322	17.3943	0.35394	37.2	54.1
chr36	1	31223415	84493	5313395	17.0173	0.334492	37.3	57.3
chr37	1	30785915	83178	5247906	17.0465	0.335019	37.3	57.8
chr38	1	24803098	65439	4110078	16.5708	0.326287	37.3	56.8
chrX	1	124992030	187544	12145608	9.71711	0.183238	37.3	53.4
